id,first_name,value 1,value 2,value 3,value 4,value 5,value 6,value 7,value 8
1,Joshua,92,94,85,94,99,79,29,60
2,Hughie,28,41,18,66,61,20,19,41
3,Beret,21,43,20,61,64,66,65,89
4,Anitra,26,67,17,98,12,10,18,57
5,Micheline,72,43,28,70,98,57,79,66
6,Stu,26,74,30,90,27,9,95,35
7,Sutherland,38,45,7,97,57,84,40,79
8,Jewelle,87,67,54,95,17,88,6,78
9,Keary,81,69,58,13,40,4,74,51
10,Alard,60,89,49,56,85,61,72,8
11,Octavius,29,98,40,67,68,92,20,57
12,Ted,47,81,97,63,51,18,50,65
13,Vanna,39,72,50,55,33,92,57,99
14,Fidel,19,24,35,70,78,37,45,20
15,Casandra,3,57,6,13,55,98,71,66
16,Dinah,44,96,26,98,69,53,71,86
17,Arney,34,58,43,38,39,12,28,73
18,Netty,96,28,9,26,50,55,83,22
19,Tod,15,29,80,73,54,53,9,44
20,Cinda,62,66,90,41,15,53,27,17
21,Court,55,45,20,38,57,16,8,74
22,Jenny,51,25,80,70,58,46,63,69
23,Clarke,43,26,11,78,13,80,8,89
24,Brenda,5,97,5,97,87,83,91,25
25,Kimball,7,75,85,93,71,26,94,5
26,Kinnie,46,61,26,23,70,42,92,32
27,Ogden,41,26,29,80,77,19,37,95
28,Amelie,6,91,12,54,13,23,22,5
29,Lazare,8,32,73,54,57,55,85,92
30,Clara,12,91,90,57,62,71,64,99
31,Janey,73,47,18,44,38,54,11,100
32,Gaultiero,89,74,57,16,9,42,33,91
33,Ferdy,44,71,1,64,86,79,73,15
34,Rhetta,28,47,97,2,49,83,59,43
35,Eydie,1,97,51,40,55,17,86,70
36,Darrel,37,42,46,9,56,35,14,21
37,Bette-ann,72,24,98,91,60,83,92,32
38,Helli,60,30,29,84,39,30,53,91
39,Serena,41,54,42,94,26,37,97,78
40,Jesse,78,74,32,84,29,1,26,79
41,Nelia,47,33,78,98,10,99,93,56
42,Pauletta,55,46,51,32,46,96,38,43
43,Lorelle,12,41,55,42,25,24,70,42
44,Ursala,38,94,26,91,16,86,75,20
45,Morganica,66,67,58,62,73,35,43,97
46,Leigh,96,32,63,47,3,93,56,74
47,Edithe,100,83,11,53,70,62,20,99
48,Vyky,8,80,69,1,32,10,11,32
49,Waneta,75,35,90,67,84,33,32,93
50,Bronnie,53,78,55,66,20,84,32,2
51,Natal,11,21,17,30,68,56,89,6
52,Paten,31,45,42,74,26,93,6,70
53,Inger,91,10,19,57,15,14,64,12
54,Chicky,78,31,73,32,96,63,7,60
55,Fanchette,52,10,37,85,62,5,23,91
56,Derick,50,4,23,97,79,66,3,75
57,Lyn,25,59,61,72,66,38,5,41
58,Markus,97,3,71,91,75,84,57,16
59,Yul,44,69,29,83,73,89,95,93
60,Rodolfo,69,42,33,73,97,67,93,62
61,Farlay,30,53,44,47,46,33,37,78
62,Bevon,20,82,93,21,29,43,64,36
63,Spencer,86,30,25,87,43,50,99,84
64,Burg,25,44,90,54,89,31,66,61
65,Any,62,23,6,85,37,37,92,17
66,Ellette,33,84,85,87,42,97,23,47
67,Jaimie,22,33,48,98,84,59,63,73
68,King,72,81,19,14,15,22,17,38
69,Dar,1,95,42,89,88,35,79,52
70,Randolf,37,45,5,10,27,78,46,27
71,Bert,32,58,30,22,21,58,67,20
72,Brigg,58,73,87,96,12,10,75,69
73,Jedd,49,11,7,100,98,44,28,5
74,Delilah,61,83,30,82,33,18,8,8
75,Nedi,81,59,21,76,28,40,25,25
76,Dermot,45,45,25,98,39,39,9,70
77,Jackson,71,92,53,98,86,47,9,72
78,Suki,99,18,12,50,6,18,45,96
79,Paddy,10,38,25,8,56,23,81,27
80,Pier,61,75,73,9,5,17,73,52
81,Cobbie,49,89,100,84,94,68,37,53
82,Kirk,54,59,27,66,98,90,56,64
83,Marjorie,81,25,81,72,8,98,32,50
84,Clarice,65,87,45,100,10,48,95,6
85,Waly,77,85,89,36,57,89,86,98
86,Tersina,89,49,72,69,22,70,44,54
87,Charlotta,61,29,65,14,18,71,2,65
88,Dillon,40,15,1,74,51,71,94,49
89,Tony,70,11,25,58,42,25,46,23
90,Whitney,98,29,65,39,63,93,35,84
91,Jude,90,81,56,27,86,65,92,61
92,Candace,45,76,36,16,12,90,3,1
93,Wain,86,47,42,23,77,13,24,26
94,Huntley,46,82,100,24,23,81,75,26
95,Carly,1,13,13,12,76,59,72,41
96,Ermin,100,35,5,51,57,39,24,50
97,Dehlia,3,24,2,6,11,22,23,75
98,Ozzie,69,83,92,99,32,91,77,99
